day,name,source,active,memo
2026-01-01,새해 첫날,manual,Y,
2026-02-16,설날 연휴,manual,Y,
2026-02-17,설날,manual,Y,
2026-02-18,설날 연휴,manual,Y,
2026-03-01,삼일절,manual,Y,일요일
2026-03-02,삼일절 대체공휴일,manual,Y,3·1절이 일요일
2026-05-01,근로자의 날,manual,Y,관공서 공휴일은 아니나 제조 현장은 쉰다
2026-05-05,어린이날,manual,Y,
2026-05-24,부처님 오신 날,manual,Y,일요일
2026-05-25,부처님 오신 날 대체공휴일,manual,Y,
2026-06-03,전국동시지방선거,manual,Y,
2026-06-06,현충일,manual,Y,
2026-08-15,광복절,manual,Y,토요일
2026-08-17,광복절 대체공휴일,manual,Y,
2026-09-24,추석 연휴,manual,Y,
2026-09-25,추석,manual,Y,
2026-09-26,추석 연휴,manual,Y,토요일 — 설·추석은 일요일과 겹칠 때만 대체공휴일이라 대체 없음
2026-10-03,개천절,manual,Y,토요일
2026-10-05,개천절 대체공휴일,manual,Y,
2026-10-09,한글날,manual,Y,
2026-12-25,성탄절,manual,Y,
