model_code,value_code,supply_price,memo
PV5_OPENBED,DADD_DRY_LOW_COUPANG,900000,도어추가 DRY/LOW/COUPANG
PV5_OPENBED,DADD_DRY_LOW_SLIDE,660000,도어추가 DRY/LOW/SLIDE
PV5_OPENBED,DADD_DRY_LOW_SWING,380000,도어추가 DRY/LOW/SWING
PV5_OPENBED,DADD_DRY_STD_COUPANG,1000000,도어추가 DRY/STD/COUPANG
PV5_OPENBED,DADD_DRY_STD_SLIDE,700000,도어추가 DRY/STD/SLIDE
PV5_OPENBED,DADD_DRY_STD_SWING,400000,도어추가 DRY/STD/SWING
PV5_OPENBED,DADD_REEFER_LOW_COUPANG,1600000,도어추가 REEFER/LOW/COUPANG
PV5_OPENBED,DADD_REEFER_LOW_EVSLIDE,1600000,도어추가 REEFER/LOW/EVSLIDE
PV5_OPENBED,DADD_REEFER_LOW_SLIDE,760000,도어추가 REEFER/LOW/SLIDE
PV5_OPENBED,DADD_REEFER_LOW_SWING,480000,도어추가 REEFER/LOW/SWING
PV5_OPENBED,DADD_REEFER_STD_COUPANG,1800000,도어추가 REEFER/STD/COUPANG
PV5_OPENBED,DADD_REEFER_STD_EVSLIDE,1800000,도어추가 REEFER/STD/EVSLIDE
PV5_OPENBED,DADD_REEFER_STD_SLIDE,820000,도어추가 REEFER/STD/SLIDE
PV5_OPENBED,DADD_REEFER_STD_SWING,520000,도어추가 REEFER/STD/SWING
PV5_OPENBED,DOPT_DRY_LOW_COUPANG,900000,도어옵션 DRY/LOW/COUPANG
PV5_OPENBED,DOPT_DRY_LOW_SLIDE,280000,도어옵션 DRY/LOW/SLIDE
PV5_OPENBED,DOPT_DRY_LOW_SWING,0,도어옵션 DRY/LOW/SWING
PV5_OPENBED,DOPT_DRY_STD_COUPANG,1000000,도어옵션 DRY/STD/COUPANG
PV5_OPENBED,DOPT_DRY_STD_SLIDE,300000,도어옵션 DRY/STD/SLIDE
PV5_OPENBED,DOPT_DRY_STD_SWING,0,도어옵션 DRY/STD/SWING
PV5_OPENBED,DOPT_REEFER_LOW_COUPANG,1600000,도어옵션 REEFER/LOW/COUPANG
PV5_OPENBED,DOPT_REEFER_LOW_EVSLIDE,1600000,도어옵션 REEFER/LOW/EVSLIDE
PV5_OPENBED,DOPT_REEFER_LOW_SLIDE,280000,도어옵션 REEFER/LOW/SLIDE
PV5_OPENBED,DOPT_REEFER_LOW_SWING,0,도어옵션 REEFER/LOW/SWING
PV5_OPENBED,DOPT_REEFER_STD_COUPANG,1800000,도어옵션 REEFER/STD/COUPANG
PV5_OPENBED,DOPT_REEFER_STD_EVSLIDE,1800000,도어옵션 REEFER/STD/EVSLIDE
PV5_OPENBED,DOPT_REEFER_STD_SLIDE,300000,도어옵션 REEFER/STD/SLIDE
PV5_OPENBED,DOPT_REEFER_STD_SWING,0,도어옵션 REEFER/STD/SWING
PV5_OPENBED,PART_LOW_MOVE,600000,격벽 저상 격벽 냉장/냉동 이동식
PV5_OPENBED,PART_LOW_NET,170000,격벽 저상 격벽 그물망
PV5_OPENBED,PART_STD_MOVE,650000,격벽 표준 격벽 냉장/냉동 이동식
PV5_OPENBED,PART_STD_NET,170000,격벽 표준 격벽 그물망
PV5_OPENBED,SPL_LOW,400000,스포일러 저상 O (임시 40만)
PV5_OPENBED,SPL_STD,400000,스포일러 표준 O (임시 40만)
PV5_OPENBED,TEMP_O,450000,온도기록계
PV5_OPENBED,TOP_DRY_LOW,7600000,탑 내장 저상
PV5_OPENBED,TOP_DRY_STD,7800000,탑 내장 표준
PV5_OPENBED,TOP_REEFER_LOW,16700000,탑 냉장/냉동 저상
PV5_OPENBED,TOP_REEFER_STD,17000000,탑 냉장/냉동 표준
PV5_OPENBED,TRIM_BASIC,42300000,트림 베이직
PV5_OPENBED,TRIM_PLUS,46000000,트림 플러스
