code,group_code,name,vivar_code,sort_order,active
TRIM_BASIC,TRIM,기본(Basic),,1,Y
TRIM_PLUS,TRIM,플러스(Plus),,2,Y
BODY_REEFER,BODYTYPE,냉장/냉동,,1,Y
BODY_DRY,BODYTYPE,내장,,2,Y
TOP_LOW,TOP,저상,,1,Y
TOP_STD,TOP,표준,,2,Y
DOOR_SWING,DOORTYPE,여닫이,,1,Y
DOOR_SLIDE,DOORTYPE,슬라이딩,,2,Y
DOOR_EVSLIDE,DOORTYPE,EV미닫이,,3,Y
DOOR_COUPANG,DOORTYPE,쿠팡미닫이(양문),,4,Y
DOOR_FOLD,DOORTYPE,양문미닫이,,5,N
ADD_NONE,DOORADD,추가없음,,1,Y
ADD_DRIVER,DOORADD,운전석측추가,,2,Y
TEMP_O,TEMP,온도기록계있음,,1,Y
TEMP_X,TEMP,없음,,2,Y
PART_NONE,PARTITION,없음,,1,Y
PART_NET,PARTITION,그물망,,2,Y
PART_REEFER,PARTITION,냉장/냉동 이동식,,3,Y
SPOILER_O,SPOILER,스포일러있음,,1,Y
SPOILER_X,SPOILER,없음,,2,Y
DECAL_O,DECAL,있음,,1,Y
DECAL_X,DECAL,없음,,2,Y
TINT_O,TINT,있음,,1,Y
TINT_X,TINT,없음,,2,Y
BLACKBOX_O,BLACKBOX,있음,,1,Y
BLACKBOX_X,BLACKBOX,없음,,2,Y
SUPPLYKIT_O,SUPPLYKIT,있음,,1,Y
SUPPLYKIT_X,SUPPLYKIT,없음,,2,Y
DADD_DRY_LOW_COUPANG,_PRICEKEY,도어추가 DRY/LOW/COUPANG,,1,N
DADD_DRY_LOW_SLIDE,_PRICEKEY,도어추가 DRY/LOW/SLIDE,,2,N
DADD_DRY_LOW_SWING,_PRICEKEY,도어추가 DRY/LOW/SWING,,3,N
DADD_DRY_STD_COUPANG,_PRICEKEY,도어추가 DRY/STD/COUPANG,,4,N
DADD_DRY_STD_SLIDE,_PRICEKEY,도어추가 DRY/STD/SLIDE,,5,N
DADD_DRY_STD_SWING,_PRICEKEY,도어추가 DRY/STD/SWING,,6,N
DADD_REEFER_LOW_COUPANG,_PRICEKEY,도어추가 REEFER/LOW/COUPANG,,7,N
DADD_REEFER_LOW_EVSLIDE,_PRICEKEY,도어추가 REEFER/LOW/EVSLIDE,,8,N
DADD_REEFER_LOW_SLIDE,_PRICEKEY,도어추가 REEFER/LOW/SLIDE,,9,N
DADD_REEFER_LOW_SWING,_PRICEKEY,도어추가 REEFER/LOW/SWING,,10,N
DADD_REEFER_STD_COUPANG,_PRICEKEY,도어추가 REEFER/STD/COUPANG,,11,N
DADD_REEFER_STD_EVSLIDE,_PRICEKEY,도어추가 REEFER/STD/EVSLIDE,,12,N
DADD_REEFER_STD_SLIDE,_PRICEKEY,도어추가 REEFER/STD/SLIDE,,13,N
DADD_REEFER_STD_SWING,_PRICEKEY,도어추가 REEFER/STD/SWING,,14,N
DOPT_DRY_LOW_COUPANG,_PRICEKEY,도어옵션 DRY/LOW/COUPANG,,15,N
DOPT_DRY_LOW_SLIDE,_PRICEKEY,도어옵션 DRY/LOW/SLIDE,,16,N
DOPT_DRY_LOW_SWING,_PRICEKEY,도어옵션 DRY/LOW/SWING,,17,N
DOPT_DRY_STD_COUPANG,_PRICEKEY,도어옵션 DRY/STD/COUPANG,,18,N
DOPT_DRY_STD_SLIDE,_PRICEKEY,도어옵션 DRY/STD/SLIDE,,19,N
DOPT_DRY_STD_SWING,_PRICEKEY,도어옵션 DRY/STD/SWING,,20,N
DOPT_REEFER_LOW_COUPANG,_PRICEKEY,도어옵션 REEFER/LOW/COUPANG,,21,N
DOPT_REEFER_LOW_EVSLIDE,_PRICEKEY,도어옵션 REEFER/LOW/EVSLIDE,,22,N
DOPT_REEFER_LOW_SLIDE,_PRICEKEY,도어옵션 REEFER/LOW/SLIDE,,23,N
DOPT_REEFER_LOW_SWING,_PRICEKEY,도어옵션 REEFER/LOW/SWING,,24,N
DOPT_REEFER_STD_COUPANG,_PRICEKEY,도어옵션 REEFER/STD/COUPANG,,25,N
DOPT_REEFER_STD_EVSLIDE,_PRICEKEY,도어옵션 REEFER/STD/EVSLIDE,,26,N
DOPT_REEFER_STD_SLIDE,_PRICEKEY,도어옵션 REEFER/STD/SLIDE,,27,N
DOPT_REEFER_STD_SWING,_PRICEKEY,도어옵션 REEFER/STD/SWING,,28,N
PART_LOW_MOVE,_PRICEKEY,격벽 저상 격벽 냉장/냉동 이동식,,29,N
PART_LOW_NET,_PRICEKEY,격벽 저상 격벽 그물망,,30,N
PART_STD_MOVE,_PRICEKEY,격벽 표준 격벽 냉장/냉동 이동식,,31,N
PART_STD_NET,_PRICEKEY,격벽 표준 격벽 그물망,,32,N
SPL_LOW,_PRICEKEY,스포일러 저상 O (임시 40만),,33,N
SPL_STD,_PRICEKEY,스포일러 표준 O (임시 40만),,34,N
TEMP_O,_PRICEKEY,온도기록계,,35,N
TOP_DRY_LOW,_PRICEKEY,탑 내장 저상,,36,N
TOP_DRY_STD,_PRICEKEY,탑 내장 표준,,37,N
TOP_REEFER_LOW,_PRICEKEY,탑 냉장/냉동 저상,,38,N
TOP_REEFER_STD,_PRICEKEY,탑 냉장/냉동 표준,,39,N
