spec,allowable_load_kg
10-156PRLT(S),1010
10-158PRLT(S),1195
10-16.5LT10PR(D),1250
10-16.5LT10PR(S),1420
10-16.5LT6PR(D),930
10-16.5LT6PR(S),1055
10-16.5LT8PR(D),1095
10-16.5LT8PR(S),1245
10-22.5-10PR(D),1930
10-22.5-10PR(S),2025
10-22.5-12PR(D),2145
10-22.5-12PR(S),2255
10-22.5-14PR(D),2300
10-22.5-14PR(S),2415
10-22.5-16PR(D),2400
10-22.5-16PR(S),2515
10.00-15-12PR(D),1940
10.00-15-12PR(S),2040
10.00-15-14PR(D),2030
10.00-15-14PR(S),2130
10.00-15-16PR(D),2120
10.00-15-16PR(S),2220
10.00-15-18PR(D),2205
10.00-15-18PR(S),2310
10.00-15-20PR(D),2285
10.00-15-20PR(S),2395
10.00-20-12PR(D),2210
10.00-20-12PR(S),2450
10.00-20-14PR(D),2425
10.00-20-14PR(S),2700
10.00-20-14PR(S),2740
10.00-20-16PR(D),2525
10.00-20-16PR(D),2630
10.00-20-16PR(D),2865
10.00-20-16PR(S),2815
10.00-20-16PR(S),2998
10.00-20-16PR(S),3000
10.00-20-16PR(S),3265
10.00-22-12PR(D),2415
10.00-22-12PR(S),2555
10.00-22-14PR(D),2655
10.00-22-14PR(S),2835
10.00-22-16PR(D),2770
10.00-22-16PR(S),2975
10.00R20-14PR(D),2425
10.00R20-14PR(S),2700
10R-22.5-14PR(S),2575
10R-22.5-14PR(S),2675
10R-22.5(D),2254
10R/22.5-14PR(S),2575
10R156PRLT(S),1010
10R158PRLT(S),1195
10R16.5LT10PR(D),1250
10R16.5LT10PR(S),1420
10R16.5LT6PR(D),930
10R16.5LT6PR(S),1055
10R16.5LT8PR(D),1095
10R16.5LT8PR(S),1245
10R22.5-14(S),2575
10R22.5-14P(S),2575
10R22.5-14PO(S),2575
10R22.5-14PR((S),2575
10R22.5-14PR(D),2300
10R22.5-14PR(S),2120
10R22.5-14PR(S),2415
10R22.5-14PR(S),2430
10R22.5-14PR(S),2575
10R22.5-14PR(S),2875
10R22.5-14PR(S),3000
10R22.5-14PR(S),3150
10R22.5-15PR(S),6550
10R22.5-16PR(S),2575
10R22.5-16PR(S),2760
10R22.514PR(S),2575
10RR22.5-14PR(S),2575
11-156PRLT(S),1090
11-158PRLT(S),1290
11-22.5-12PR(D),2320
11-22.5-12PR(S),2570
11-22.5-14PR(D),2425
11-22.5-14PR(S),2700
11-22.5-16PR(D),2525
11-22.5-16PR(S),2815
11-24.5-12PR(D),2415
11-24.5-12PR(S),2555
11-24.5-14PR(D),2655
11-24.5-14PR(S),2835
11-24.5-16PR(D),2770
11-24.5-16PR(S),2975
11.0-20-16PR(D),2900
11.0-20-16PR(S),3350
11.0×20-16PR(D),2900
11.0×20-16PR(S),3350
11.00-15-14PR(D),2245
11.00-15-14PR(S),2400
11.00-15-16PR(D),2380
11.00-15-16PR(S),2555
11.00-15-18PR(D),2475
11.00-15-18PR(S),2655
11.00-15-20PR(D),2565
11.00-15-20PR(S),2755
11.00-16PR(D),2900
11.00-16PR(S),3350
11.00-20-12PR(D),2435
11.00-20-12PR(D),2900
11.00-20-12PR(S),2585
11.00-20-14PR(D),2400
11.00-20-14PR(D),2620
11.00-20-14PR(D),2865
11.00-20-14PR(S),2990
11.00-20-165PR(D),2870
11.00-20-16PR,3265
11.00-20-16PR.(S),3260
11.00-20-16PR(D),2630
11.00-20-16PR(D),2785
11.00-20-16PR(D),2857
11.00-20-16PR(D),2860
11.00-20-16PR(D),2865
11.00-20-16PR(D),2866
11.00-20-16PR(D),2867
11.00-20-16PR(D),2870
11.00-20-16PR(D),2900
11.00-20-16PR(D),2910
11.00-20-16PR(D),2965
11.00-20-16PR(D),3075
11.00-20-16PR(D),3265
11.00-20-16PR(D),3350
11.00-20-16PR(D),3865
11.00-20-16PR(S),3100
11.00-20-16PR(S),3215
11.00-20-16PR(S),3250
11.00-20-16PR(S),3260
11.00-20-16PR(S),3265
11.00-20-16PR(S),3269
11.00-20-16PR(S),3270
11.00-20-16PR(S),3280
11.00-20-16PR(S),3350
11.00-20-16PR(S),3352
11.00-20-16PR(S),9601
11.00-20-16PR(S),2865
11.00-20-16PRR(D),2900
11.00-20-16R(D),2865
11.00-20-16R(D),2900
11.00-20-16R(S),3350
11.00-20-16RP(D),2865
11.00-20-16RP(D),2870
11.00-20-16RP(S),3270
11.00-20-18PR(D),2865
11.00-20-18PR(D),2895
11.00-20-18PR(S),3225
11.00-20-19PR(D),2900
11.00-20-20PR(D),3005
11.00-20-20PR(S),3345
11.00-20-22.5-20PR(D),2865
11.00-20.00-16PR(D),2870
11.00-20.00-16PR(S),3260
11.00-2016P(D),2900
11.00-2016P(S),3350
11.00-2016PR(D),2870
11.00-2016PR(D),2900
11.00-2016PR(S),3260
11.00-22-12PR(D),2635
11.00-22-12PR(S),2770
11.00-22-14PR(D),2890
11.00-22-14PR(S),3090
11.00-22-16PR(D),3015
11.00-22-16PR(S),3240
11.00-24-12PR(D),2870
11.00-24-12PR(S),3030
11.00-24-14PR(D),3135
11.00-24-14PR(S),3370
11.00-24-16PR(D),3235
11.00-24-16PR(S),3515
11.00-R20-16PR(D),2865
11.00/20-16PR(D),2900
11.00/20-16PR(S),3350
11.00×20-16PR(D),2787
11.00×20-16PR(D),2865
11.00×20-16PR(D),2867
11.00×20-16PR(D),2870
11.00×20-16PR(D),2900
11.00×20-16PR(S),3260
11.00×20-16PR(S),3265
11.00×20-16PR(S),3350
11.00×20×16PR(S),3350
11.00R-20-16PR(D),2865
11.00R-20-16PR(D),2870
11.00R20-14PR(D),2670
11.00R20-14PR(S),2840
11.00R20-16PR(D),2785
11.00R20-16PR(D),2865
11.00R20-16PR(D),2870
11.00R20-16PR(D),2900
11.00R20-16PR(S),3100
11.00R20-16PR(S),3260
11.00R20-16PR(S),3265
11.00R20-16PR(S),3350
11.00X20-16PR(D),2780
11.00X20-16PR(D),2785
11.00X20-16PR(D),2865
11.00X20-16PR(D),2900
11.00X20-16PR(D),6865
11.00X20-16PR(S),3350
112R22.5-16PR(D),2867
112R22.5-16PR(S),3266
11R156PRLT(S),1090
11R158PRLT(S),1290
11R22.5-146R(S),3150
11R22.5-14PR(D),2500
11R22.5-14PR(S),2725
11R22.5-14PR(S),3000
11R22.5-14PR(S),3150
11R22.5-164PR(S),3150
11R22.5-16PR(D),2625
11R22.5-16PR(D),2630
11R22.5-16PR(D),2631
11R22.5-16PR(D),2725
11R22.5-16PR(D),2870
11R22.5-16PR(D),2650
11R22.5-16PR(S),2120
11R22.5-16PR(S),2180
11R22.5-16PR(S),2725
11R22.5-16PR(S),2900
11R22.5-16PR(S),2995
11R22.5-16PR(S),2998
11R22.5-16PR(S),3000
11R22.5-16PR(S),3150
11R22.5-16PR(S),3270
11R22.5-16PR(S),3300
11R22.5-16PR(S),3550
11R22.5-18PR(S),3000
11R24.5-14PR(D),2560
11R24.5-14PR(S),2920
11R24.5-16PR(D),2860
11R24.5-16PR(S),3190
12-1510PRLT(S),1530
12-156PRLT(S),1020
12-158PRLT(S),1290
12-16.5LT10PR(D),1415
12-16.5LT10PR(S),1610
12-16.5LT12PR(D),1615
12-16.5LT12PR(S),1835
12-16.5LT6PR(D),945
12-16.5LT6PR(S),1075
12-16.5LT8PR(D),1195
12-16.5LT8PR(S),1360
12-22.5-12PR(D),2555
12-22.5-12PR(S),2715
12-22.5-14PR(D),2670
12-22.5-14PR(S),2840
12-22.5-16PR(D),2785
12-22.5-16PR(S),3100
12.00-20-14PR(D),2760
12.00-20-14PR(S),2900
12.00-20-16PR(D),2965
12.00-20-16PR(D),3075
12.00-20-16PR(S),3115
12.00-20-16PR(S),3350
12.00-20-16PR(S),3937
12.00-20-18PR(D),3095
12.00-20-18PR(S),3250
12.00-20-18PR(S),3270
12.00-20-18PR(S),3723
12.00-20-18PR(S),3724
12.00-20-20PR(D),3220
12.00-20-20PR(S),3385
12.00-22.5-16PR(D),2865
12.00-22.5-16PR(D),2870
12.00-22.5-16PR(D),3075
12.00-22.5-16PR(S),3270
12.00-22R-16PR(D),2870
12.00-24-14PR(D),3105
12.00-24-14PR(S),3265
12.00-24-16PR(D),3340
12.00-24-16PR(S),3505
12.00-24-18PR(D),3485
12.00-24-18PR(S),3660
12.00-24-20PR(D),3625
12.00-24-20PR(S),3810
12.00-R20-18PR(S),3724
12.00*22.5-16PR(D),3150
12.00*22.5-16PR(S),3550
12.00R-20-16PR(S),3720
12.00R-20-18PR(D),2870
12.00R-20-18PR(S),3720
12.00R20-16PR(D),2965
12.00R20-16PR(S),3115
12.00R20-18PR(D),3095
12.00R20-18PR(D),3265
12.00R20-18PR(S),3250
12.00R20-18PR(S),3720
12.00R20-18PR(S),3724
12.00R20-18PR(S),3725
12.00R22.5-16PR(D),2867
12.00R22.5-16PR(D),2870
12.00R22.5-16PR(D),2900
12.00R22.5-16PR(D),3075
12.00R22.5-16PR(S),3250
12.00R22.5-16PR(S),3266
12.00R22.5-16PR(S),3267
12.00R22.5-16PR(S),3270
12.00R22.5-16PR(S),3350
12.00R22.516PR(D),3075
12.00R22.516PR(S),3350
12.00R24-18PR(D),3485
12.00R24-18PR(S),3660
12.RX22.5-16PR(D),3075
12.RX22.5-16PR(S),3350
12/R22.5-16PR(D),3075
120R22.5-16PR(D),3075
122R22.5-16PR(D),3075
12R-22.5-16P(D),3075
12R-22.5-16PR(D),2865
12R-22.5-16PR(D),2870
12R-22.5-16PR(D),3075
12R-22.5-16PR(S),3260
12R-22.5-16PR(S),3265
12R-22.5-16PR(S),3270
12R-22.5-16PR(S),3350
12R-22.516PR(D),3075
12R-25.5-20PR(S),4080
12R/22.5-16PR(D),3075
12R/22.5-16PR(S),3550
12R×22.5-16PR(D),2866
12R×22.5-16PR(S),3265
12R1510PRLT(S),1530
12R156PRLT(S),1020
12R158PRLT(S),1290
12R16.5LT10PR(D),1415
12R16.5LT10PR(S),1610
12R16.5LT12PR(D),1615
12R16.5LT12PR(S),1835
12R16.5LT6PR(D),945
12R16.5LT6PR(S),1075
12R16.5LT8PR(D),1195
12R16.5LT8PR(S),1360
12R22.2-16PR(D),3075
12R22.5-116PR(D),2870
12R22.5-136PR(S),3270
12R22.5-14PR(D),2725
12R22.5-14PR(S),2575
12R22.5-14PR(S),3000
12R22.5-14PR(S),3350
12R22.5-15PR(D),2870
12R22.5-15PR(S),3270
12R22.5-16(D),3075
12R22.5-16(S),3350
12R22.5-16OR(D),2867
12R22.5-16PR((D),2865
12R22.5-16PR(D),1450
12R22.5-16PR(D),1520
12R22.5-16PR(D),2120
12R22.5-16PR(D),2687
12R22.5-16PR(D),2780
12R22.5-16PR(D),2787
12R22.5-16PR(D),2820
12R22.5-16PR(D),2860
12R22.5-16PR(D),2865
12R22.5-16PR(D),2866
12R22.5-16PR(D),2867
12R22.5-16PR(D),2870
12R22.5-16PR(D),2875
12R22.5-16PR(D),2900
12R22.5-16PR(D),3050
12R22.5-16PR(D),3070
12R22.5-16PR(D),3075
12R22.5-16PR(D),3150
12R22.5-16PR(D),3267
12R22.5-16PR(D),3315
12R22.5-16PR(D),3350
12R22.5-16PR(D),3375
12R22.5-16PR(D),3550
12R22.5-16PR(D),3870
12R22.5-16PR(D),4500
12R22.5-16PR(D),6320
12R22.5-16PR(D),5000
12R22.5-16PR(D),3260
12R22.5-16PR(D),4750
12R22.5-16PR(D),4082
12R22.5-16PR(D),4080
12R22.5-16PR(s),3260
12R22.5-16PR(S),2120
12R22.5-16PR(S),3150
12R22.5-16PR(S),3250
12R22.5-16PR(S),3260
12R22.5-16PR(S),3261
12R22.5-16PR(S),3265
12R22.5-16PR(S),3266
12R22.5-16PR(S),3267
12R22.5-16PR(S),3270
12R22.5-16PR(S),3350
12R22.5-16PR(S),3375
12R22.5-16PR(S),3550
12R22.5-16PR(S),3750
12R22.5-16PR(S),4080
12R22.5-16R(D),3075
12R22.5-18PR(D),2870
12R22.5-18PR(D),3250
12R22.5-18PR(D),7160
12R22.5-18PR(D),3550
12R22.5-18PR(S),3550
12R22.5-18PR(S),3750
12R22.5-20-16PR(D),2870
12R22.5-20-16PR(S),3270
12R22.5-20PR(D),2870
12R22.5-20PR(D),3075
12R22.5-20PR(D),3150
12R22.5-20PR(S),3550
12R22.5-24PR(D),3250
12R22.5-24PR(S),3550
12R22.5-2PR(D),3075
12R22.5-49PR(D),3075
12R22.5(D),3075
12R22.5(D),3150
12R22.5(D),3250
12R22.5(S),3550
12R22.5(S),5000
12R22.5/16PR(D),2870
12R22.5/16PR(S),3269
12R22.5016PR(D),3075
12R22.516PR(D),2865
12R22.516PR(D),2866
12R22.516PR(D),2867
12R22.516PR(D),2870
12R22.516PR(D),3070
12R22.516PR(D),3075
12R22.516PR(D),3150
12R22.516PR(S),2870
12R22.516PR(S),3265
12R22.516PR(S),3266
12R22.516PR(S),3270
12R22.516PR(S),3350
12R22.516PR(S),3550
12R22.5P-16PR(D),3150
12R22.5R16PR(D),2867
12R22.5R16PR(S),3266
12RR22.5-16PR(D),2870
12RX22.516PR(D),2870
12X8.5R14-8PR(D),825
13R22.5-18PR(D),2866
13R22.5-18PR(D),3250
13R22.5-18PR(S),3720
13R22.5-18PR(S),3724
13R22.5-18PR(S),3750
14.00R24-24PR(D),5300
14.00R24-24PR(S),5800
145R10-6PRLT(D),375
145R10-6PRLT(S),400
145R12-6PRLT(D),425
145R12-6PRLT(S),450
145R12-8PR(D),495
145R12-8PR(D),500
145R12-8PRLT(D),495
145R12-8PRLT(S),520
145R12<C>-8PR(D),495
145R12C-8PR(D),500
145R13-6PRLT(D),450
145R13-6PRLT(S),475
145R13-8PR(D),465
145R13-8PR(D),530
145R13-8PR(D),560
145R13-8PRLT(D),525
145R13-8PRLT(S),550
145R13C-10PR,580
145R13C-12PR,630
145R13C-8PR(D),530
145RC13C-8PR(D),530
145SR12,387
155-12-8PR(D),530
155.R12-8PR(D),530
155/R13C-8PR(D),585
155R-13C-8PR(D),565
155R12-6PR(S),485
155R12-6PR(S),487
155R12-6PRLT(D),460
155R12-6PRLT(S),485
155R12-8PR(D),530
155R12-8PR(D),535
155R12-8PR(D),560
155R12-8PR(S),485
155R12-8PR(S),560
155R12-8PRLT(D),535
155R12-8PRLT(S),560
155R126PR(S),487
155R12C-10PR(D),580
155R12C-10PR(S),580
155R12C-6PR(S),485
155R12C-6PR(S),487
155R12C-8P(D),530
155R12C-8PR,495
155R12C-8PR,530
155R12C-8PR(D),526
155R12C-8PR(D),529
155R12C-8PR(D),530
155R12C-8PR(D),550
155R12C-8PR(D),800
155R12C-8PR(S),560
155R12C(D),530
155R12C6PR(S),487
155R13-6PRLT(D),490
155R13-6PRLT(S),510
155R13-8PR(D),560
155R13-8PR(D),565
155R13-8PRLT(D),565
155R13-8PRLT(S),595
155R13<C>-8PR(D),565
155R13C-8PR(D),560
155R13C-8PR(D),565
155R13C10PR,615
155R13C93/92R10PR,630
155R14-6PRLT(D),530
155R14-6PRLT(S),560
155R15C-8,530
155R15C-8,50
165/60R14,437
165R13-6PRLT(D),560
165R13-6PRLT(S),585
165R13-8PR(D),630
165R13-8PRLT(D),640
165R13-8PRLT(S),670
165R14-6PRLT(D),615
165R14-6PRLT(S),650
175/50R15,437
175/60R13,412
175/65R15,550
175/70R14C,690
175R13-6PRLT(D),605
175R13-6PRLT(S),635
175R13-8PRLT(D),690
175R13-8PRLT(S),730
175R14-6PRLT(D),690
175R14-6PRLT(S),730
175R14-8PRLT(D),750
175R14-8PRLT(S),775
185-14-6PR(S),775
185/50R16,462
185/55R15,475
185/80R14,615
185R-14-6PR(S),775
185R13-6PRLT(D),690
185R13-6PRLT(S),730
185R13-8PRLT(D),750
185R13-8PRLT(S),800
185R14-6PR(S),730
185R14-6PR(S),745
185R14-6PR(S),775
185R14-6PRLT(D),730
185R14-6PRLT(S),775
185R14-8PR(S),848
185R14-8PR(S),850
185R14-8PRLT(D),800
185R14-8PRLT(S),850
185R14<C>-6PR(S),775
